Timestamp [ms],	Network received throughput [KB/s],	Network transmitted throughput [KB/s],	CPU usage [%],	Memory usage [KB],	Disk read throughput [KB/s],	Disk write throughput [KB/s]
1376314846,244582.0666666668,30825.600000000028,9.683053518358754,773476.7008340525,68368.86666666668,15981.6
1376315146,246540.24358974377,43773.84615384614,9.811373523657823,713465.6771651696,68381.73333333334,19137.33333333333
1376315446,260343.23809523802,34682.43333333338,9.09530349096787,706308.206335511,68385.53333333333,19974.933333333334
1376315746,121767.06153846206,35580.28205128213,7.343816166098312,711822.2673569171,68374.46666666667,17792.933333333334
1376316046,208957.2,44804.33333333336,7.133511887642606,732891.6626977271,66888.73333333334,15679.533333333333
1376316346,57688.11666666659,48435.224358974316,6.6332882108065405,718123.3445126048,69909.93333333332,16401.666666666664
1376316646,43918.59999999993,35671.60000000005,7.142215511456237,671064.7381075637,68370.33333333334,19182.866666666665
1376316946,46865.13333333325,38474.20000000006,5.237338821781221,804007.4639056661,68381.53333333333,16234.266666666665
1376317246,76037.33333333326,77861.13333333326,3.526004218195758,634201.1451251078,68386.2,10224.8
1376317546,37578.2666666666,35727.73333333338,3.767980059438216,557540.7703192404,68368.93333333332,14559.133333333333
1376317846,81738.06666666671,84526.59999999986,3.710883424408017,540778.5801553058,68382.66666666666,13480.0
1376318146,39139.66666666677,36944.06666666669,3.4071439698974153,421625.24659188924,125462.46666666667,7845.666666666668
1376318446,39653.86666666674,37077.33333333336,3.9481161921196435,395276.5823410984,68370.6,7876.866666666668
1376318746,34828.93333333328,32899.31904761913,6.042849439171699,470899.69127737405,68382.06666666668,8715.733333333332
1376319046,25319.183333333323,22879.583333333423,7.162646370023416,650964.0354328437,68385.4,8008.2
1376319346,30934.2000000001,27937.966666666714,7.382388347918974,593544.9138091127,68369.33333333331,8396.466666666667
1376319646,32426.133333333324,29703.06666666668,7.909573027514135,592926.7018694275,68387.06666666668,8794.666666666668
1376319946,41892.79999999993,36976.86666666666,7.169764404179849,712815.082197297,68402.59999999999,16457.666666666664
1376320246,42731.488095238106,36579.29999999996,4.72692934522097,709587.0745470236,68369.2,7470.866666666668
1376320546,30966.292307692234,28335.11282051287,6.072262709369045,541640.3998520896,68381.2,7758.400000000002
1376320846,27818.600000000024,24460.66666666676,6.216223276771161,623895.533620937,68386.33333333334,7195.666666666668
1376321146,240898.73333333357,23353.766666666743,7.351518310804322,532397.7974115615,68369.13333333332,8040.0
1376321446,28410.999999999956,26847.80000000009,6.724015554596867,558318.8679896462,129495.73333333337,6974.4
1376321746,158352.48571428607,32404.32380952386,6.183799663092152,670505.4833805826,134285.93333333335,8291.333333333334
1376322046,330118.20000000024,29077.400000000074,8.149283985236313,674746.7314351461,81906.93333333332,7900.0666666666675
1376322346,57498.366666666756,32588.76666666673,11.144812509415626,999844.9714121373,70686.66666666666,8045.466666666667
1376322647,36530.26666666673,27244.6000000001,12.169199296054348,1083206.617198734,68388.4,8909.400000000001
1376322947,24660.800000000032,20144.800000000065,12.691096850733421,883524.0308311753,68368.4,12123.533333333333
1376323247,27555.723809523774,25972.228571428666,12.028069405070065,792163.975348207,67755.33333333334,6882.0666666666675
1376323547,39524.64761904761,33253.866666666734,10.838857132585547,821047.7337647394,69036.06666666668,11917.133333333333
1376323847,36463.02564102562,32513.610439560507,9.727777955555144,751591.0453182139,68369.6,7210.0
1376324147,58932.133333333026,56648.59999999985,10.903873669830327,641606.6852459004,67363.93333333332,7744.6
1376324447,23366.266666666663,20237.06666666668,12.11729460262679,643174.5617486329,69403.66666666666,7179.733333333334
1376324747,22007.799999999996,19266.666666666697,12.384344741635525,664797.7976416457,68369.33333333331,8160.466666666667
1376325047,26951.999999999996,25134.60000000005,11.903111518550496,652220.925165372,68390.66666666666,7389.266666666666
1376325347,36693.133333333324,30873.400000000078,11.029447679992353,799379.4657463334,68387.93333333332,8401.8
1376325647,40561.73333333327,32518.000000000047,10.57053734061932,719511.9146390567,68369.53333333333,9052.666666666666
1376325947,37137.68479853473,30717.766483516563,11.93841787885686,732536.4960244246,68381.66666666666,7819.133333333332
1376326247,30409.466666666573,26080.533333333395,13.15979891669065,836203.8973828017,68384.93333333332,7111.733333333334
1376326547,29913.88717948715,25911.05128205133,13.085475385869048,886893.740952634,63796.73333333332,9809.866666666667
1376326847,30628.600000000035,27854.60000000007,11.939183084076321,833464.9276962901,72756.86666666668,7152.399999999999
1376327147,44028.000000000015,60465.00000000006,11.167694252708285,864880.8409548455,68607.66666666666,11906.2
1376327447,38933.238095238026,56759.53809523814,10.400347436213504,712865.451168906,216774.8928571429,15643.266666666665
1376327747,32850.59999999993,51540.8333333334,11.613841554021684,649887.7041127413,68381.86666666668,7730.400000000002
1376328047,30343.222977022964,52044.42480297486,13.15596208747633,723153.0320247858,146032.15,7816.133333333332
1376328347,26280.73333333333,37905.73333333339,12.825052727447021,834947.1114178887,75262.8,8633.400000000001
1376328647,26248.933333333316,45866.50000000003,11.691830840763133,778677.0029335653,68381.33333333331,8654.866666666667
1376328947,33144.533333333406,61646.33333333339,10.628226560253113,715586.4227782572,80386.86666666668,8183.133333333332
1376329247,33192.933333333334,69417.93333333336,9.857856389607917,676248.2153580673,76088.32121212121,7227.8
1376329547,26955.65714285719,43330.776190476245,11.55250160065467,619790.882780723,68381.2,7945.8
1376329847,24263.614285714302,25689.19047619054,12.754653368393688,689036.7378774813,68385.4,6960.466666666666
1376330147,25019.466666666714,47529.00000000002,12.085504745470264,741605.8510209948,68369.4,8035.466666666666
1376330447,28107.000000000044,54874.800000000076,11.688507214073448,654345.7228645374,68387.06666666668,7127.0666666666675
1376330747,42613.35109890112,72844.01300366307,10.26646123505485,702137.9163153784,68410.86666666665,11852.333333333336
1376331047,41572.127489177474,87470.14891774903,9.671700379837809,671848.8112285753,62123.33333333332,7795.2
1376331347,32797.8,75946.0666666668,11.905066029143924,633579.3442622948,74627.66666666666,7891.0
1376331647,23412.666666666675,58151.00000000008,12.913534776148046,729317.1905282332,122335.2,9051.866666666667
1376331947,23773.400000000012,41343.2666666667,12.576722030486065,718601.1228070186,68369.33333333331,8129.733333333334
1376332247,29671.733333333363,49967.60000000008,12.091196913047662,632555.8027034795,71173.73333333334,7765.0
1376332547,35215.80000000002,51921.73333333339,10.955907271594308,812490.671728502,68728.26666666666,8222.599999999999
1376332847,30598.33333333332,50351.947619047605,10.023832206883336,665994.8492953697,55351.2,7325.333333333332
1376333147,26320.46666666667,44666.666666666715,11.872493049563818,592093.7118205343,66509.79999999999,7688.200000000003
1376333447,24870.53333333336,41331.20000000003,12.480114562362216,709418.4552200176,83276.2,7277.6
1376333747,26529.933333333352,43394.30000000004,11.737221383376507,701590.4973252813,68369.46666666666,8003.0
1376334047,30186.666666666682,52614.533333333406,11.571375587192037,585107.8881794643,68132.86666666668,7514.466666666666
1376334347,50700.26666666654,74181.1285714286,10.377659996987013,667022.096618595,68660.93333333332,11839.6
1376334647,47185.32637362633,87189.49304029293,11.37653996672007,693847.4719750187,68369.6,9035.2
1376334947,28884.600000000042,69093.26666666669,12.992954294890238,728334.5550762154,68381.13333333332,7772.6
1376335247,24829.13333333333,55243.46666666668,12.398005344645773,772544.7180903078,148096.8,7096.133333333332
1376335547,27403.599999999995,53228.33333333338,11.931756303326653,644795.7337934998,172502.1857142857,8230.933333333334
1376335847,28274.99999999997,26815.666666666708,11.657136779791026,646085.0668967504,160460.0,6887.0
1376336147,25070.400000000012,22113.133333333364,9.990255009107484,670055.8085706072,71044.4,8202.133333333333
1376336447,29272.119047619057,24707.390476190503,10.04809487858994,550179.2830601091,68369.53333333333,7324.333333333334
1376336747,29283.63333333339,25332.26666666672,11.681429752660351,589905.5585274661,68381.53333333333,8637.0
1376337047,25838.590476190486,22523.480952381015,12.232295646904154,713103.2211676735,68385.86666666668,46845.33333333334
1376337347,34278.266666666554,31346.06666666678,12.75485631770682,759842.769283866,68369.13333333332,8249.533333333333
1376337647,29235.33809523813,27549.26666666674,13.210098846843879,798512.9399071451,57715.26666666666,11498.2
1376337947,55395.06666666657,95893.46666666643,12.041325371867835,882989.7547768785,77649.59999999999,28284.66666666667
1376337948,6803.9333333333325,1004.8666666666668,10.59601449275362,548518.1507246376,5076.2,11797.866666666667
